review_id,label,user,ip,star,text
REVIEW38,-,USER39,IP38,2,刚营业，很多东西都还不能点。点了三米兰牛肉面，汤是不错，越式的，面很多。不过给的料就太少了，搞得好像阳春面一样，同样价位，吉亨的牛肉有四五倍吧。要有人回头就别让顾客有被坑的感觉。
REVIEW39,+,USER40,IP39,5,前几天跟朋友一起去的，感觉挺有档次的，包房设计的挺优雅的 气氛也很不错，就是菜点的多了点哈哈  蟹粉超级好吃的！几乎被我一个人吃掉了 呼呼！ 其他的菜也都挺合口味的  量挺足的!  服务也是很周到 热情的很.  很开心的！以后就去这家了！
REVIEW40,-,USER41,IP40,5, 就是价格有点小贵，第一次来没有失望。 服务没的说，搞的我总想给小费，人家服务员说不要 经服务员介绍品尝了几款新菜品，味道很好， 环境很有异域风情，很适合带朋友来品尝?
REVIEW41,-,USER42,IP41,4,觉得烤鸭还是蛮好吃的，其他的菜还可以吧！去他家吃饭停车比较方便这个比较喜欢。
REVIEW42,-,USER43,IP42,5,店面很干净，红烧牛肉里面的牛肉分量很足，肉块很大，炖的很酥烂，牛骨熬出来的汤汁就是好喝。他们家的招牌大蒜炒牛舌，可真是美味，大蒜是那种青蒜，以前从来不知道牛舌可以这么好吃，加上青蒜的爆炒，真是香气四溢！
REVIEW43,+,USER44,IP25,5,想吃好面还是要来康师傅的，味道那是相当的不错，尤其是汤类，做的非常棒，装修方面还是比较不错的，作为快餐店类而言，很好，值得称赞的啦。湘辣剁椒肥牛面的味道相当不错哦，尤其是那个汤的味道，把面也全是这个味道的，吃着特别香，再喝一口汤，不光暖人还很好吃呢，肥牛的味道不是很重，主要还是调料的那个味道不错的啦。香芹红油拌金针算是小菜了，每次吃面都会点一份，不错的
REVIEW44,+,USER45,IP43,5,那天去是朋友带去的，不仅小料是免费的，豆浆也是免费畅饮的，还有一种小花生，那天我第三次去拿的时候发现没有了，就想服务员要了，两次之后，我有点不好意思，就跟服务员说我买一点，没想到服务员说，这是免费的，不会跟我收钱的，又帮我打了不少！！1
REVIEW45,-,USER46,IP44,1,什么垃圾饭店啊  定好了居然去了没位子  问领班怎么回事   说出来的理由真好笑   原因就是没有付押金   我当时在外地 根本就赶不回来  怎么来付押金  而且当时  我跟他再三的说  确定要的  确定要的  结果他还是没留   这么多客人  都在那里等着  我真的是难看死了  这样的垃圾饭店  下次不会再去了  更不会打电话预定  也不会让我的朋友们去吃
REVIEW46,-,USER47,IP45,5,和同学过来吃过两次  选择品种很多    喜欢冬瓜和金针菇  丸子的种类也算是多的了 就是地方不够宽敞 有些拥挤   吃的人很多
REVIEW47,+,USER48,IP46,5,最近常去的一家店，很喜欢那的环境，灯很漂亮，口味也不错，每次必点海鲜面疙瘩，去的朋友可以试试，海瓜子和茄子也很好吃~~
REVIEW48,-,USER49,IP47,5,其实啊，有很多很多的日本料理的啊，但是也是有韩国料理的啊，呵呵，这样子给我的感觉啊，总是觉得是很随意的了，不是那么的专业的感觉的啊， 真的就是什么卖的好了啊，什么就有了的那种感觉了呢，真心的是有点伤不起了呢，这里的那个什么萝卜啊，这个是腌制过的呢，味道还是蛮不错的说，还有啊，就是那个寿司了呢，也是蛮好的其实
REVIEW49,-,USER50,IP48,1,咖喱虾真心的难吃，猪扒鸡扒一般般，是家去过一次就不会再光顾的店
REVIEW50,-,USER51,IP49,5,团购去吃的话还是很合算的！羊肉串和飞饼是特色，就是远了点！！
REVIEW51,-,USER52,IP50,5,前天刚去的，很温馨的店，老板很热情，不过那里不是自己捏泥巴坐哦，有现成的胚子，你只要自己在胚子上绘画就可以了。店家负责帮你烤，一周之后通知你来取，我个人觉得很有意思，我很喜欢
REVIEW52,+,USER53,IP51,5,第一次过来吃面，感觉不错，味道挺好，服务也很好，环境很干净。希望大家也要常来吃吃
REVIEW53,-,USER54,IP52,5,整体的环境服务都很好，老板人很好，每次去都会送不同的小点，冬天的曲奇饼干，夏天的冰激凌…… 味道也很不错，搭配上精美的餐具和店内优雅的环境，无论是看书还是约会都是件很惬意的事。店内的小猫很可爱，悄悄跳上沙发，安安静静的还会乖乖的让你摸。wifi，桌游，一书柜的书和免费提供还帮你寄的精美明信片，整家店将优雅和休闲结合的很好。老板还在店里隔出了一块天地，每晚都会放不同的电影。44元左右饮料加蛋糕的经典组合，坐上一下午，不时会为你添上柠檬水，送上一杯花茶或普洱。价格不贵，性价比很高。
REVIEW54,-,USER55,IP53,4,拿到优惠券就来试一试好不好吃 两荤四素，炒饭，一个汤，还有水果和饮料，都是自助的 菜么味道还可以，服务生态度也蛮好的 反正不用在外面等位，里面也开了空调，吃得蛮开心的
REVIEW55,+,USER56,IP54,5,今天和朋友出来吃饭，看到附近这家店不错，环境很好，安静，这家店菜换了，但还是很好吃， 口味地道，菜做的很好吃，喜欢这里的剁椒鱼头，很入味，鱼头嫩，下次还来。而且老板很爽朗，把零头都拉了，推荐 这里的菜，做的好吃，实惠
REVIEW56,-,USER57,IP55,4,那天吃了海瓜子，味道好爆了，真心不错。。。他们家口味很赞O(∩_∩)O哈哈~
REVIEW57,-,USER58,IP56,5,这家的蛋糕非常好吃，难得的是这么大热的天送来还是冰冰的。巧克力也非常有特色，口感很好，送人自己吃都很棒，好评！
REVIEW58,-,USER59,IP57,4,他家的销售好会促销，一直会送蛋糕给我们试吃~吃了香芋蓝莓，提拉米苏还有焦糖芝士~感觉提拉米苏的味道最好~焦糖芝士是冰的，可能要融化一会儿吃会更好吃~香芋蓝莓还行，总体还不错~
REVIEW59,+,USER60,IP58,5,今天逛大润发出来，饿了，到隔壁康师傅私房牛肉面吃了碗面，很不错的面，很好吃，很有嚼劲，他家服务员顾存芳也很热情
REVIEW60,+,USER61,IP59,5,口味还可以，龙头烤偏咸，环境一般，地方太小了，服务不错 ，就是服务员太少，叫不到人
REVIEW61,-,USER62,IP60,1,服务差的要命，点个菜叫了半天没人理，草头里吃出了塑料纸不说，餐具还把女朋友的嘴割破了，桌子上的餐具没有一个是好的，装修还可以，这样的店关门是迟早的事！
REVIEW62,-,USER63,IP61,4,菜谱很简单，味道绝对不简单，是一家老字号了，有表演可以边吃边乐，纯正的湖南土菜，烧烤是真正的木炭烧烤，超有感觉超正的，碗都老大的，像在自己家吃饭一样，价格又不贵。
REVIEW63,+,USER64,IP62,5,朋友请客在鸭王订的桌子。。到的时候是一个穿格格服的迎宾给我们领位的，她为我们带到一个靠窗的包房。。环境卫生都挺好的。后来为我们点单的是一个小姑娘，她总是面带微笑的，而且笑起来很好看的，有个小小的梨涡。席间服务也都很好。。装修又气派，请客吃饭去鸭王蛮好的，不会丢面子的哦。会再去的。
REVIEW64,-,USER65,IP63,4,同事一直说芋贵人好吃吃了几次没觉得和鲜芋仙有什么区别！这家离得比较近
REVIEW65,-,USER66,IP64,5,装修的很有风格，有些皇宫的气息。环境真的好着呢，气派十足，太养眼了。和老爸老妈一起来的，客人挺多的，貌似还有旅游团呢。名气大嘛就是不一样的。不过这里的味道就是值得来的，烤鸭推出来的时候，香气满鼻。烤鸭色泽枣红，油亮味美，肉嫩奇香，营养丰富。拔丝香蕉味道不错的，甜甜的。芥末鸭掌不是很吃的来，因为不是喜欢芥末的。不过每个人都有自己的口味的。水晶虾仁做的很漂亮的，装点得盘子很好看。还有这里的服务不错的，赞的很。
REVIEW66,-,USER67,IP65,3,5个人大堂里吃吃～  凉菜里的豆豉小黄鱼一塌糊涂。。。还推荐菜来。。。根本不好吃，没有味道的，冰箱里直接拿出来的感觉～  热菜里的虾仁为什么要98一份。。。信价比太差了～也没有感觉多鲜美啊～酸菜鱼、铁板酱茄子还行。。。还有几个热菜也都过于清淡了～  总体感觉非常吵闹～要不是有赠送的优惠券，也懒的去丰收日了。。。
REVIEW67,+,USER68,IP66,5,我已经是他家的常客了，这里的小菜很不错，挺喜欢这家的益气养生秋耳的，酸酸的很有味道。服务员顾存芳小姑娘挺不错的！很热情！
REVIEW68,+,USER69,IP67,5,月浦办婚宴的好地方，价位比市中心的同级别的酒店的LEVEL要低不少，服务很好的，婚宴即将选在这里，24小时营业的，经理人也不错，会做生意哦
REVIEW69,+,USER70,IP68,5,住在武威东路上，经常去吃的，不过现在天冷了，还好老板在外边儿搭了帐篷，可以叫外卖的，老板人挺不错的，我们经常聊聊天，我比较爱吃肉吧，哈哈哈……
REVIEW70,+,USER71,IP69,5,好喝〜〜〜〜〜很不错〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜
REVIEW71,+,USER72,IP8,5,中午在他家吃的午餐，因为时间匆忙<要去看电影》就没有点烤鸭。点了一些其他跟鸭子有关的菜，味道很好。服务员很热情，就是没有吃到烤鸭很遗憾，想了想，以后有的是时间，改天再去吧、、
REVIEW72,-,USER73,IP70,5,环境和服务都很，色香都有，色香都有，啊啊啊，终于吃了。跟买康师傅面自己在家泡还是很不一样的啊。哈哈，环境很不错哦
REVIEW73,-,USER74,IP71,5,是一家不错的店噢，环境很好，老板人也很好～还有两只喵星人～～
REVIEW74,-,USER75,IP72,4,一鸭两吃，片皮，鸭架烧汤，还有些爽口小菜配着，一顿下来满嘴流油，但是肥而不腻。 但是服务员都上了些年纪。但比较诚恳。推荐大的菜还不错。
REVIEW75,-,USER76,IP73,2,服务环境还可以，但面的味道和价格相比相差甚远，面量不多，牛肉三四块，青菜一两个，然后就没其他东西了，而且我感觉还真有一点方便面的味道……反正不值得一试……
REVIEW76,+,USER77,IP74,5,给力的不仅仅是东西好吃 老板店里还有一只超级可爱的 招财猫猫哦 喜欢蓝猫的童鞋可以去看看 超级萌的哦  推荐一下 鸭脖 鸭舌 我滴最爱 哦哦哦哦啊啊啊啊
REVIEW77,-,USER78,IP75,5,真的挺好的！！真的挺好的！！真的挺好的！！真的挺好的！！真的挺好的！！真的挺好的！！
REVIEW78,+,USER79,IP76,5,老板卖相赞，又热情，面不够，尽管加，不另外收费的，里面焖蹄面味道不错，超喜欢
REVIEW79,-,USER80,IP77,5,花神咖啡馆的环境优静，服务态度好，还有几只可爱的猫，喜欢花神
REVIEW80,-,USER81,IP78,5,路过随便买了点，回家一吃发现还不错！听说老板的栗子都是出口的~~下次再来~~
REVIEW81,-,USER82,IP79,2,大众点评网的评论都是好评，所以才敢在窝窝团贸然尝试买了团购去体验。去的时候5点多，餐厅里没有人，我们3个人是唯一的一桌。因为是团购窝窝团上的双人套餐，所以被要求硬性点份餐，迫于无奈就点了份披萨，超贵的要100多。刚开始菜上来的时候，还觉得不错，后来上来猪肋排的时候，看到满盘浇的酱汁，一开始蛮有食欲的，吃的时候觉得有肉腥味，感觉不是很新鲜，就放置一旁不敢吃了。再接着上海鲜饭的时候，感觉更不对，一个个都是死虾，幸好贝类没什么问题。买单的时候和服务员提了这些问题，服务员也挺无措的，支支吾吾的解释，最后也没交代出个结果，店方也没给任何回复。如果认为搞团购餐厅是赔钱、需要降低菜的品质的话，那索性就不要搞了，非但不会吸引顾客，反而带来不好的影响。
REVIEW82,-,USER83,IP80,3,     家庭聚餐老来这里。人多的时候吃吃性价比还是很好的。    烤鸭肯定是必点，招牌，个人倒是比较喜欢是鸭架汤，很鲜美，可惜还是放过点味精的。    鸭子系列的菜每次必点，吃多了也就这样吧，不功不过。家庭聚会实惠型还是可以的。
REVIEW83,-,USER84,IP81,4,我也是有销售在公司举行试吃活动才知道这个牌子的，巧克力味不是那种很甜很腻的，奶油味道非常浓香。
REVIEW84,-,USER85,IP82,5, 价格相对来说，就会比别的地方的贵一些了价格相对来说，就会比别的地方的贵一些了 原材料很新鲜，但是 味道一般般~~ 他们家的环境不错，挺适合跟着朋友过来小聚 服务员的服务态度非常的和蔼，很耐心的为我们讲解招牌菜和一些顾客们常点的菜品，服务态度非常满意
REVIEW85,+,USER86,IP83,5,开六年了，从大宁路 联华超市门口风霜雪雨到有固定场所，送餐20元起送，电话15021886366 ，手艺和服务经过考验。
REVIEW86,-,USER87,IP84,5,60522006  先记个外卖电话 老板人很好，刚开业很热情，亲自端碗，还确认口味。 经营的主要是面食，剔尖和和捞面都很好吃，口味比较淡，很健康。环境也很好，有空调又安静。如果菜品再丰富些就更好了，希望能经营下去。 推荐老板做山西焖面，还有凉拌的灌肠，好想吃啊！！
REVIEW87,+,USER88,IP85,4,果汁确实是不掺水的，口感不错。夏天喜欢吃水果捞里面杨枝甘露我蛮喜欢的。最重要的是服务很周到 很热心，才能更有心情品尝到美味。
REVIEW88,-,USER89,IP86,4,和同学说起火锅 还是觉得大学时代的这家店最好吃 以前读大学没什么吃 这家火锅店是唯一的比较不错的地儿 拿了奖学金来吃 开学来吃 放假前还来吃 有事没事都来吃 现在想想味道并不是那样的好 但是吃的是一个开心 最喜欢的是菌菇锅底 一大锅里满满的各种菌菇 然后羊肉牛肉各种丸子 酱料任加 真心赞 有机会还回去吃 旁边还有烤羊肉串的 味道也很好
REVIEW89,-,USER90,IP87,4,老婆非常喜欢吃水果，因此这种地方有看见是必须去的。 不过这价格……贵的很。 忍痛买点鲜榨果汁给老婆尝尝，我倒是感觉一般，不过老婆很喜欢
REVIEW90,-,USER91,IP88,5,环境非常清幽，可以看出店主的细心，墙壁上装饰的韩国照片，将我们，随即带入首尔的空间，还有各韩国的小装饰也处处可见!再来说说一菜式，非常正宗的韩式烧烤，口感丰富，肉质新鲜。来的这天小雨濛濛，一个餐厅的人也差不多坐满了!生意很兴隆呢，关健是性价比高，朋友也觉得很好!下次会回来!
REVIEW91,-,USER92,IP89,2,点个五谷丰登 超级咸的毛豆 很老的山药臭臭的芋头 椒盐虾蛄不是死的就是死瘦的 什么南乳排骨全焦的 青菜全是根 还有什么忘记了反正都不怎么好吃 宁波菜连宁波人都不要吃
REVIEW92,+,USER93,IP26,5,有一段时间没来了，今天过来发现他们换了新菜单，感觉挺不错的，服务也不错，并且出了很多新菜。
REVIEW93,-,USER94,IP90,4,大堂有别人家的婚宴，所以非常的吵闹，没有办法安静的吃饭，点的菜也等的好久，哎，星期六的晚上就是很乱啊
REVIEW94,-,USER95,IP69,2,环境很好，给人感觉很温馨，东西还可以，服务态度不错，是约会的好地方。
REVIEW95,-,USER96,IP17,4,鸭王，特点就是烤鸭，烤鸭味道真的很不错，环境也可以，服务态度不错！
REVIEW96,-,USER97,IP91,5,上海的湘菜馆子着实多，名字也都起的婉然有乡情。 上次和同时瞎逛的时候走到这家，名字也是蛮特别的。 他们家的菜，不贵，感觉也不是很乡土，每到菜都有一点小小的创新，比如小炒肉的味道就与众不同，辣里带甜，吃着有轻快的感觉。 总的来说还可以，服务也蛮周到的。
REVIEW97,-,USER98,IP92,1,很差 奸商 退掉的菜打在帐单里 没发现就埋单啦 让顾客为他们的错误埋单 去了三次发生两次。这是对我们消费者的严重挑衅，抵制！
REVIEW98,+,USER99,IP93,5,朋友带我来的小店  虽然店不大，而且藏在弄堂里，不仔细看看不到，不过东西却一点也不差。  刺身很棒！很新鲜！  海胆每天新鲜限量供应，牡丹虾北极贝都是超大的个头！  鹅肝非常喜欢，外面是焦焦脆脆的，里面则是5分熟的，能滑进嘴里的口感，非常棒~  烤鳗没有刺！几乎没有刺！吃到现在处理的最好的烤鳗啦！
REVIEW99,-,USER100,IP94,5,陆家嘴的环球金融中心是好地段好气派的大楼，这家时尚锅虽然开在它的楼下但也有档次的说，可听说它家晚上有自助火锅，而且超便宜现在每人只要68元呢。  正好附近活动便去了次，地方蛮大的，环境不算漂亮却很干净宽敞，每人一个的小火锅，锅底品种、浓淡都可以自选，看架子上有药膳汤底、东阴功汤底、麻辣汤底和咖喱汤底，我选了药膳的汤底，直接放了两罐，哦哟，那个浓啊~~真好味。  自助的饮料、菜品也品种不少，饮料不光有各式软饮还有啤酒来，不错的。菜品我最喜欢的主要的肉肉是当场机器切片的，品质很好很嫩的。满足！其它的蟹、虾、青口贝、蛤蜊、龙利鱼、青鱼等海鲜也很新鲜，蛋饺、小肉肠、金针菇、腐竹、绿叶菜等等都也不错，总之，这一餐的感觉是性价比超高的，实惠。
REVIEW100,-,USER101,IP95,3,新开的，生意巨好 下午很早就什么都没了。藤椒鸡麻麻辣辣，鸡肉鲜嫩。最好吃就这个了。就是贵，而且称的时候一包水。一点点就要4，50
REVIEW101,+,USER102,IP96,5,公司的同事请吃甜品，买了一打的芋贵人的大芋头回来！这口味真是不错！大家全部都很快的吃完了，我还特意地偷吃了小白的两颗~
REVIEW102,-,USER103,IP97,5,经典私房牛肉面赞！牛肉酥嫩入味，面很有嚼劲，汤汁鲜美~店内空调很给力.
REVIEW103,-,USER104,IP98,5,超级好吃，里面的海王第一鲜真的很鲜，还有一个椒盐虾也特别好吃 三黄鸡也不错，总的来说适合宴会，不错的
REVIEW104,-,USER105,IP99,4,天气很热，这个位置没想到发现了还有个时尚茶饮，赶紧买了一杯，没想到味道还不错哦！
REVIEW105,-,USER106,IP100,3,地方是大的来，夜市饭店几乎是满座的。3个人去吃的，烤鸭还是ok的，但是木有我期待的那么好吃。鸭壳烧成汤味道也是一般般，后来加点了一味鸭心，第一口、第二口感觉还蛮好吃，吃多了感觉很腻，后来朋友打包给他家的狗狗吃了~~
REVIEW106,+,USER107,IP101,4,要吃面的话一般都会到这个兄弟面摊里吃的 感觉这个兄弟面摊的面条做的还是挺好吃的呢 我跟几个朋友都很喜欢到这个兄弟面摊来
REVIEW107,+,USER108,IP50,5,来过一次和朋友一起的，很好玩，做自己喜欢的东西，形状都自己编，很有发挥空间，还是挺不错的地方，做的时候时间过的也挺快的
REVIEW108,+,USER109,IP102,5,儿子过生日在他家订了个大包厢，靠窗边的位置，很喜欢的。菜是让服务员给我们配的。菜的味道都是非常好的，这也让我们很满意的。还有就是为我们服务的服务员是个很老实、勤快的小伙子，人是非常好的，下次过去还是会找他的。
REVIEW109,-,USER110,IP103,5,每次点评都拖拖拉拉，汗一个，不过这次真是都是昨晚刚吃过就上来点评的，哈哈  昨晚在火车站接人，9点半，饿的受不鸟了就跑去他家吃牛肉面了。 点单的时候暗想真贵啊，一个套餐34元，包括一份牛肉面、一份小番茄、一杯可乐。 但当我把牛肉面里的牛肉放进嘴巴里的时候，真心觉得很值，好久好久没吃过炖的这么入味，这么棉烂的牛肉啦，值了值了，不愧是私房牛肉面。点餐的服务员叫邓丽服务很热情....
REVIEW110,+,USER111,IP104,5,店里有一大缸发财鱼和一小缸热带鱼，超有爱心的老板。 老板送了越南咖啡 非常正点。
REVIEW111,-,USER112,IP105,5,环境是超级的赞啊，自己非常喜欢这里的，【西班牙海鲜饭】是特色，味道超级的美味， 自己蛮喜欢吃的，经常和LG来这里享受浪漫的时光呢，呵呵~
REVIEW112,-,USER113,IP106,2,他们家的菜，做的口味总的来说还可以，只是那次去刚吃到一半，邻桌一喝多了的男的吐了一桌而让我们食欲扫地还感觉特别恶心。。。于是吃饭终止，然后去前台付钱时问说法，结果一分钱折扣都不给打。。。从那以后，每次路过他们家都会想到让人发自心底感到恶心的经历。。。再也没有去过。。。
REVIEW113,-,USER114,IP107,3,记得是和同事们一起来吃的， 一大桌人点了很多菜， 个人觉得味道还挺好的， 片皮鸭包饼，没传说中的这么难吃， 服务么稍微差点，没办法， 东西味道不错就行了~~~~
REVIEW114,+,USER115,IP67,5,很喜欢牛排，以外发现，婚宴中的牛肋骨，很瓒，打包带回家，儿子超爱，每食无处不在
REVIEW115,-,USER116,IP108,5,第一次来感觉环境很好，比较舒适，适合和朋友一起来喝下午茶，聊聊天，而且服务态度也比较满意。
REVIEW116,+,USER117,IP109,5,台湾风味的小吃很值得体验的！脆皮鸡腿饭很好吃。这种便当很方便也很卫生。不错的小吃。
REVIEW117,-,USER118,IP110,5,蛋糕，面包很好吃。下次试试咖啡。店里人态度也很好。现在面包蛋糕8折
